,0
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,1
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,0
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,1
507,0
508,0
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,1
523,1
524,1
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,1
